City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Date
394,Carnarvon,AU,-24.8667,113.6333,291.38,291.38,62,96,13.66,2022-10-11 15:13:25
395,Sabang,ID,5.8933,95.3214,300.91,300.91,75,34,5.77,2022-10-11 15:13:29
396,Dhadar,IN,28.3305,75.0632,300.95,300.95,56,17,2.98,2022-10-11 15:13:29
397,Virovitica,HR,45.8319,17.3839,291.77,291.77,60,13,1.6,2022-10-11 15:13:30
398,Serebryansk,KZ,49.6925,83.2892,278.38,278.38,62,14,0.51,2022-10-11 15:13:31
399,Marawi,PH,7.9986,124.2928,294.1,294.1,94,94,0.85,2022-10-11 15:13:31
400,Iskateley,RU,67.6803,53.1512,277.31,277.31,91,23,3.34,2022-10-11 15:13:32
401,Save,BJ,8.0425,2.486,302.26,302.26,69,84,0.81,2022-10-11 15:13:33
402,Shache,CN,38.4167,77.2406,290.77,290.77,20,0,4.15,2022-10-11 15:13:34
403,Sumbe,AO,-11.2061,13.8437,297.94,297.94,72,24,4.43,2022-10-11 15:13:34
404,Kalamare,BW,-22.9337,26.5703,302.67,302.67,15,1,6.44,2022-10-11 15:13:36
405,Garmsar,IR,35.2182,52.3409,300.17,300.17,16,0,1.9,2022-10-11 15:13:36
406,Samfya,ZM,-11.3649,29.5565,303.91,303.91,22,36,5.76,2022-10-11 15:13:37
407,Parsabad,IR,39.6482,47.9174,295.59,295.59,53,1,7.12,2022-10-11 15:13:37
408,Surt,LY,31.2089,16.5887,302.96,302.96,40,98,4.13,2022-10-11 15:13:40
409,Tubuala,PA,9.5167,-79.0333,302.13,302.13,70,8,1.01,2022-10-11 15:13:40
410,Filadelfia,US,39.9523,-75.1638,293.27,288.5,61,0,2.06,2022-10-11 15:11:15
411,Savelugu,GH,9.6244,-0.8253,305.54,305.54,50,48,3.16,2022-10-11 15:13:41
412,Chateau-Thierry,FR,49.05,3.4,292.03,289.39,37,8,3.33,2022-10-11 15:13:42
413,Misratah,LY,32.3754,15.0925,302.96,302.96,46,16,4.07,2022-10-11 15:13:42
414,Ornskoldsvik,SE,63.2909,18.7153,282.68,282.68,66,0,6.17,2022-10-11 15:13:45
415,Mwingi,KE,-0.9344,38.0601,299.29,299.29,33,10,5.33,2022-10-11 15:13:45
416,Comodoro Rivadavia,AR,-45.8667,-67.5,290.07,290.07,36,20,13.38,2022-10-11 15:13:46
417,Vilhena,BR,-12.7406,-60.1458,298.69,298.69,64,77,3.77,2022-10-11 15:13:46
418,Pangnirtung,CA,66.1451,-65.7125,268.41,268.41,73,90,0.39,2022-10-11 15:11:26
419,Mineros,BO,-17.1167,-63.2333,292.24,292.24,48,100,2.76,2022-10-11 15:13:47
420,Nueva Guinea,NI,11.6876,-84.4562,298.98,298.98,87,77,2.98,2022-10-11 15:13:48
421,Stepnogorsk,KZ,52.3544,71.8869,283.51,283.51,51,84,3.76,2022-10-11 15:13:49
422,Puerto El Triunfo,SV,13.2833,-88.55,300.82,300.82,76,91,1.37,2022-10-11 15:13:50
423,Kiruna,SE,67.8557,20.2251,279.66,279.66,61,0,6.69,2022-10-11 15:13:51
424,Seia,PT,40.4151,-7.7086,297.99,296.94,47,72,1.79,2022-10-11 15:13:52
425,Nazca,PE,-14.8333,-74.95,298.15,298.15,37,40,2.85,2022-10-11 15:13:53
426,Yanaul,RU,56.2719,54.9309,283.17,283.17,78,100,1.16,2022-10-11 15:13:54
427,Goya,AR,-29.14,-59.2626,295.34,295.34,38,0,2.88,2022-10-11 15:13:54
